Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of Liège,Apartment,apartment,275000.0,2.0,98,B,140.0,Just renovated,Apartments,195778,29723.4,553498,4139,True
Province of Flemish Brabant,Apartment,apartment,195000.0,2.0,84,C,222.0,Good,Apartments,36525,37715.53,106812,1948,False
Brussels-Capital Region,House,house,520000.0,5.0,210,Not specified,317.0,Good,Houses,60771,39197.85,137181,288528,True
Province of Flemish Brabant,House,villa,949000.0,6.0,403,B,126.0,As new,Luxury Properties,104009,43011.99,344112,18038,True
Province of Antwerp,Apartment,apartment,289000.0,2.0,80,C,204.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,Apartment,apartment,195000.0,2.0,125,E,401.0,To renovate,Apartments,544759,33144.07,1227104,4398,False
Brussels-Capital Region,House,house,525000.0,6.0,284,D,193.0,Good,Houses,98365,25895.01,133439,16848,True
Province of East Flanders,House,house,159000.0,2.0,66,B,181.0,To be done up,Houses,34999,37743.97,124752,14340,True
Province of West Flanders,House,house,578000.0,4.0,220,B,151.0,Good,Houses,11207,40996.06,46066,26033,False
Province of West Flanders,House,house,448500.0,3.0,198,A,19.0,Good,Houses,20627,37570.88,77565,2696,False
Brussels-Capital Region,House,house,625000.0,6.0,270,G,514.0,Good,Houses,196828,29704.33,380145,17660,True
Province of Walloon Brabant,House,house,525000.0,5.0,260,D,326.0,To be done up,Houses,7607,46630.21,25490,4567,False
Province of Flemish Brabant,House,villa,1275000.0,8.0,436,F,633.0,To renovate,Luxury Properties,18029,43469.48,60740,924,False
Province of West Flanders,House,house,475000.0,3.0,153,A,48.0,Good,Houses,80032,37694.03,283738,359714,True
Province of East Flanders,House,house,635000.0,3.0,275,F,608.0,Good,Houses,10687,42704.05,40227,21094,False
Province of West Flanders,Apartment,apartment,195000.0,1.0,58,B,118.0,Good,Apartments,21546,45278.76,146797,6821,False
Province of Walloon Brabant,House,apartment-block,529000.0,5.0,218,C,193.0,Good,Specialized Properties,40461,43475.47,136981,9066,False
Province of Limburg,House,house,599000.0,4.0,326,C,254.0,Not specified,Houses,34433,37587.56,123345,57999,False
Province of Antwerp,Apartment,apartment,296000.0,2.0,100,A,98.0,As new,Apartments,544759,33144.07,1227104,4398,True
Province of West Flanders,Apartment,apartment,149500.0,1.0,56,A,88.0,Good,Apartments,15148,40944.72,58452,8139,True
Province of West Flanders,Apartment,apartment,195000.0,1.0,55,F,530.0,To be done up,Apartments,21546,45278.76,146797,6821,False
Province of Hainaut,House,house,545000.0,5.0,407,B,128.0,Good,Houses,14839,31459.26,51091,8987,True
Province of Flemish Brabant,House,villa,910000.0,4.0,387,E,450.0,To be done up,Luxury Properties,26505,45534.17,87780,58076,False
Province of Walloon Brabant,House,house,695000.0,9.0,420,C,200.0,Good,Houses,35558,41007.54,117663,1680,True
Province of Antwerp,Apartment,apartment,196000.0,1.0,70,C,287.0,As new,Apartments,544759,33144.07,1227104,4398,True
Province of East Flanders,House,house,790000.0,6.0,415,D,310.0,Good,Houses,269597,36726.16,810047,6028,False
Province of Antwerp,House,house,549000.0,3.0,201,F,588.0,Good,Houses,544759,33144.07,1227104,4398,True
Province of Antwerp,House,house,799000.0,5.0,394,B,317.0,Good,Houses,89313,39500.05,263172,4655,True
Brussels-Capital Region,Apartment,apartment,398000.0,2.0,90,G,317.0,Good,Apartments,42571,49629.39,117715,6157,True
Province of Liège,House,house,385000.0,4.0,152,B,100.0,As new,Houses,40814,29901.9,123528,11066,True
Brussels-Capital Region,Apartment,apartment,199000.0,2.0,92,G,431.0,Good,Apartments,126581,26480.5,210927,18015,True
Province of East Flanders,House,villa,795000.0,6.0,332,A,96.0,Good,Luxury Properties,8340,43002.14,32070,18627,True
Province of East Flanders,House,house,549000.0,3.0,213,Not specified,317.0,As new,Houses,25229,47435.18,91348,5057,False
Province of Antwerp,Apartment,penthouse,395000.0,2.0,106,B,107.0,As new,Apartments,544759,33144.07,1227104,4398,True
Province of Antwerp,Apartment,apartment,199000.0,2.0,76,B,180.0,Good,Apartments,544759,33144.07,1227104,4398,False
Province of West Flanders,Apartment,apartment,99000.0,2.0,28,B,193.0,Not specified,Apartments,11021,35458.79,66035,18535,True
Brussels-Capital Region,House,house,800000.0,6.0,335,G,433.0,To be done up,Houses,86806,43621.92,224317,19952,True
Province of East Flanders,House,house,549000.0,3.0,213,Not specified,317.0,As new,Houses,25229,47435.18,91348,5057,False
Province of Antwerp,House,mixed-use-building,995000.0,5.0,619,B,172.0,Good,Specialized Properties,21693,47562.79,72573,10545,True
Province of Antwerp,Apartment,apartment,419000.0,3.0,145,B,161.0,Good,Apartments,544759,33144.07,1227104,4398,True
Province of East Flanders,House,house,490000.0,2.0,110,F,740.0,To renovate,Houses,19110,47282.69,70080,9209,False
Province of West Flanders,Apartment,apartment,199000.0,2.0,89,C,298.0,Good,Apartments,72586,33257.05,244961,13344,False
Province of East Flanders,House,house,559000.0,3.0,213,Not specified,317.0,As new,Houses,25229,47435.18,91348,5057,False
Province of East Flanders,House,house,845000.0,4.0,553,E,416.0,To be done up,Houses,32702,39518.48,117883,21321,False
Province of Antwerp,House,apartment-block,1195000.0,12.0,530,B,148.0,Good,Specialized Properties,18601,42115.94,65567,11418,False
Province of Flemish Brabant,Apartment,apartment,429000.0,3.0,123,A,83.0,Good,Apartments,12663,45579.33,43907,1080,True
Brussels-Capital Region,Apartment,apartment,199990.0,2.0,80,C,140.0,Good,Apartments,126581,26480.5,210927,18015,True
Brussels-Capital Region,House,villa,895000.0,5.0,350,E,223.0,To be done up,Luxury Properties,26895,22954.31,36878,7264,True
Province of East Flanders,Apartment,apartment,199000.0,2.0,85,C,236.0,Good,Apartments,47185,38820.1,160975,4396,True
Province of Flemish Brabant,House,house,525000.0,5.0,285,D,375.0,Good,Houses,15124,50956.47,56231,6705,True
Province of Flemish Brabant,Apartment,apartment,340000.0,2.0,80,B,146.0,Good,Apartments,13962,53968.09,46635,2768,True
Brussels-Capital Region,House,house,575000.0,4.0,200,G,376.0,Not specified,Houses,86806,43621.92,224317,19952,True
Brussels-Capital Region,Apartment,apartment,199990.0,2.0,74,G,388.0,As new,Apartments,126581,26480.5,210927,18015,True
Province of Antwerp,House,house,340000.0,3.0,140,D,363.0,Good,Houses,89313,39500.05,263172,4655,True
Province of Liège,House,house,274000.0,3.0,147,E,406.0,As new,Houses,195778,29723.4,553498,4139,True
Province of Flemish Brabant,House,house,525000.0,5.0,285,D,375.0,Good,Houses,15124,50956.47,56231,6705,True
Brussels-Capital Region,House,exceptional-property,930000.0,5.0,279,G,582.0,To renovate,Luxury Properties,89278,36192.4,192538,3920,True
Province of Flemish Brabant,House,apartment-block,625000.0,0.0,248,Not specified,317.0,Not specified,Specialized Properties,8634,49694.21,30573,11591,False
Province of East Flanders,Apartment,duplex,265000.0,2.0,131,B,317.0,As new,Apartments,28085,41829.48,105183,16211,True
Province of Walloon Brabant,House,apartment-block,565000.0,4.0,233,D,281.0,Not specified,Specialized Properties,40461,43475.47,136981,9066,False
Province of Walloon Brabant,House,villa,695000.0,5.0,210,C,249.0,To be done up,Luxury Properties,30596,49868.21,110845,5016,True
Province of Luxembourg,House,house,750000.0,1.0,390,F,481.0,Not specified,Houses,11506,32422.04,57491,11194,True
Province of Antwerp,House,villa,589000.0,4.0,299,C,244.0,Good,Luxury Properties,17026,40295.14,64336,6601,False
Province of West Flanders,House,house,995000.0,4.0,375,B,317.0,Good,Houses,119869,38379.28,447131,54152,False
Brussels-Capital Region,Apartment,apartment,199990.0,3.0,99,G,950.0,To be done up,Apartments,126581,26480.5,210927,18015,True
Province of West Flanders,House,house,795000.0,0.0,464,B,317.0,Good,Houses,66262,36816.82,237945,5238,False
Province of East Flanders,House,house,589000.0,3.0,213,Not specified,317.0,As new,Houses,25229,47435.18,91348,5057,False
Province of Hainaut,House,house,110000.0,2.0,126,F,430.0,To renovate,Houses,18959,28316.07,63922,9841,False
Province of Antwerp,House,house,535000.0,3.0,229,A,317.0,Not specified,Houses,9892,37807.81,36719,5115,True
Province of Flemish Brabant,Apartment,ground-floor,205000.0,2.0,71,B,317.0,Just renovated,Apartments,36581,38387.4,118342,11481,True
Province of Limburg,House,country-cottage,1298000.0,5.0,453,D,350.0,As new,Houses,41469,36465.6,145379,3951,True
Province of Walloon Brabant,House,house,599000.0,3.0,225,D,259.0,Just renovated,Houses,11818,50802.91,44045,8103,True
Province of Antwerp,House,house,258000.0,2.0,107,E,457.0,To be done up,Houses,544759,33144.07,1227104,4398,True
Province of Antwerp,House,apartment-block,525000.0,8.0,374,F,876.0,Not specified,Specialized Properties,544759,33144.07,1227104,4398,True
Province of Antwerp,Apartment,ground-floor,379000.0,1.0,78,C,207.0,As new,Apartments,544759,33144.07,1227104,4398,True
Brussels-Capital Region,Apartment,apartment,209000.0,2.0,81,E,229.0,As new,Apartments,98365,25895.01,133439,16848,True
Province of Walloon Brabant,House,villa,1395000.0,10.0,510,D,312.0,As new,Luxury Properties,11818,50802.91,44045,8103,True
Province of Flemish Brabant,House,villa,615000.0,4.0,233,C,266.0,As new,Luxury Properties,42595,38907.97,130239,12277,False
Province of Flemish Brabant,House,house,549000.0,5.0,215,Not specified,317.0,Not specified,Houses,42595,38907.97,130239,12277,False
Province of East Flanders,House,villa,845000.0,3.0,209,B,177.0,As new,Luxury Properties,19402,42080.81,70655,60203,True
Province of East Flanders,Apartment,apartment,360000.0,2.0,80,C,206.0,To be done up,Apartments,269597,36726.16,810047,6028,False
Province of East Flanders,Apartment,penthouse,785000.0,4.0,259,B,117.0,As new,Apartments,81863,36701.5,247742,11936,True
Province of Flemish Brabant,House,villa,615000.0,4.0,233,C,266.0,As new,Luxury Properties,42595,38907.97,130239,12277,False
Brussels-Capital Region,Apartment,apartment,219000.0,3.0,105,D,153.0,To renovate,Apartments,126581,26480.5,210927,18015,True
Province of Namur,Apartment,apartment,179000.0,1.0,60,A,70.0,As new,Apartments,114142,35393.56,357401,0,False
Province of Flemish Brabant,House,bungalow,395000.0,2.0,116,F,558.0,Good,Houses,42595,38907.97,130239,12277,True
Province of Liège,House,house,280000.0,2.0,150,G,317.0,To be done up,Houses,23261,31572.93,76079,7948,True
