Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped,Population,Avg_Taxable_Income,Number_of_Buildings,Number_of_Transactions,Add_Fearures
Province of Walloon Brabant,House,exceptional-property,1250000.0,4.0,450,C,255.0,As new,Luxury Properties,10646,43559.07,36138,4046,True
Province of Walloon Brabant,Apartment,apartment,245000.0,2.0,85,C,191.0,To renovate,Apartments,35558,41007.54,117663,1680,True
Province of West Flanders,Apartment,apartment,189000.0,2.0,76,F,596.0,Good,Apartments,11021,35458.79,66035,18535,True
Brussels-Capital Region,Apartment,apartment,990000.0,5.0,223,E,258.0,To renovate,Apartments,86806,43621.92,224317,19952,True
Brussels-Capital Region,House,apartment-block,1395000.0,0.0,517,E,244.0,To be done up,Specialized Properties,49293,28468.3,88414,15806,False
Province of Antwerp,House,villa,1450000.0,4.0,360,B,149.0,As new,Luxury Properties,23009,46533.35,69885,44616,True
Province of Antwerp,House,house,695000.0,7.0,321,F,576.0,Good,Houses,23009,46533.35,69885,44616,False
Province of East Flanders,Apartment,apartment,189000.0,2.0,90,C,248.0,Not specified,Apartments,32702,39518.48,117883,21321,True
Province of Flemish Brabant,House,house,229000.0,3.0,123,C,209.0,Not specified,Houses,42595,38907.97,130239,12277,False
Province of Antwerp,House,apartment-block,695000.0,7.0,321,F,576.0,Good,Specialized Properties,23009,46533.35,69885,44616,False
Province of Hainaut,House,villa,380000.0,4.0,180,D,276.0,Good,Luxury Properties,23743,34002.99,89009,3946,True
Brussels-Capital Region,Apartment,flat-studio,195000.0,1.0,42,E,246.0,Good,Apartments,89278,36192.4,192538,3920,True
Brussels-Capital Region,Apartment,apartment,1350000.0,4.0,291,C,132.0,To be done up,Apartments,26895,22954.31,36878,7264,True
Province of Antwerp,Apartment,apartment,289000.0,2.0,86,B,112.0,Just renovated,Apartments,544759,33144.07,1227104,4398,True
Province of Flemish Brabant,House,house,825000.0,4.0,220,C,208.0,Good,Houses,18179,42686.79,51422,20478,True
Province of Flemish Brabant,House,house,695000.0,4.0,357,C,226.0,Not specified,Houses,42595,38907.97,130239,12277,True
Province of Liège,Apartment,apartment,219000.0,2.0,100,D,269.0,Good,Apartments,16380,33859.1,56693,4741,True
