Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Subtype of Property_Grouped
Mariakerke,9030,Province of East Flanders,Apartment,apartment,229500,2,96,0,0,0,0,0,0,0,0,0,0,B,173,Not specified,Apartments
Sint-amandsberg,9040,Province of East Flanders,Apartment,apartment,379000,2,114,0,0,0,0,0,0,0,0,0,0,C,212,Not specified,Apartments
Malle,2390,Province of Antwerp,House,house,525000,3,257,0,0,0,0,0,0,0,0,1768,4,C,286,Good,Houses
Knokke-heist,8300,Province of West Flanders,House,house,995000,4,249,0,0,0,0,0,0,0,0,302,3,A,55,As new,Houses
Schoten,2900,Province of Antwerp,House,villa,1045000,4,370,0,0,0,0,0,0,0,1,2295,4,C,260,Good,Luxury Properties
Seraing,4100,Province of Liège,House,house,199000,4,46,1,0,0,1,10,1,84,0,146,2,C,178,Good,Houses
Avelgem,8580,Province of West Flanders,Apartment,apartment,115000,3,100,0,0,0,0,0,0,0,0,0,3,C,280,To renovate,Apartments
Neder-over-heembeek-bruxelles,1120,Brussels-Capital Region,House,apartment-block,535000,1,283,0,0,0,1,26,1,65,0,230,2,F,277,Not specified,Specialized Properties
Quievrain,7380,Province of Hainaut,House,house,104000,2,103,0,0,0,0,0,1,117,0,185,2,E,317,To restore,Houses
Elsene,1050,Brussels-Capital Region,Apartment,apartment,379000,2,95,1,0,0,0,0,0,0,0,0,2,G,388,Good,Apartments
Bocholt,3950,Province of Limburg,House,farmhouse,995000,4,336,0,0,1,0,0,0,0,1,38326,4,C,244,Good,Houses
Knokke,8300,Province of West Flanders,House,house,945000,4,206,1,0,0,0,0,0,0,0,249,3,C,216,As new,Houses
Weillen,5523,Province of Namur,House,house,110000,3,75,0,0,0,0,0,1,1346,0,1346,4,G,867,To renovate,Houses
Elsene,1050,Brussels-Capital Region,Apartment,ground-floor,370000,2,76,1,1,0,0,0,0,0,0,0,2,C,317,Good,Apartments
Koksijde,8670,Province of West Flanders,House,house,685000,5,233,0,0,0,0,0,1,330,0,535,4,C,258,As new,Houses
Zarren-werken,8610,Province of West Flanders,House,country-cottage,999000,5,426,0,0,0,0,0,0,0,0,39842,4,B,168,As new,Houses
Bruxelles,1000,Brussels-Capital Region,House,apartment-block,1100000,11,506,1,0,0,1,65,1,62,0,270,2,Not specified,317,To restore,Specialized Properties
Tintigny-saint-vincent,6730,Province of Luxembourg,House,house,239000,3,118,0,0,0,0,0,1,6160,0,6261,3,C,194,Good,Houses
Waasmunster,9250,Province of East Flanders,House,villa,969000,4,322,1,0,1,0,0,0,0,0,1484,4,C,294,Good,Luxury Properties
Seraing,4100,Province of Liège,House,house,120000,4,96,0,0,0,1,5,1,450,0,559,2,E,383,To renovate,Houses
Affligem,1790,Province of Flemish Brabant,House,house,570000,3,240,1,0,0,1,30,1,510,0,810,4,C,278,As new,Houses
Antwerpen,2018,Province of Antwerp,House,mansion,1039000,5,400,0,0,0,1,25,1,30,0,135,2,C,228,Not specified,Luxury Properties
Lille,2275,Province of Antwerp,House,house,1250000,3,393,1,0,0,0,0,0,0,0,3552,4,A,77,As new,Houses
